2/3/2020,CB,30 VAS @ 81.3000,Vanguard Australian Shares Index ETF,742.7,,742.7
2/3/2020,CB,14 VDHG @ 55.3000,Vanguard Diversified High Growth Index ETF,785.2,,1527.9
11/3/2020,CB,2 VTS @ 220.2200,Vanguard US Total Market Shares Index AUD ETF,451.44,,451.44
17/4/2020,CB,32 MP1 @ 12.0200,Megaport,395.64,,395.64
17/4/2020,CB,2 VTS @ 225.4100,Vanguard US Total Market Shares Index AUD ETF,461.82,,857.46
17/4/2020,CB,29 VAS @ 69.8300,Vanguard Australian Shares Index ETF,639.47,,1496.93
22/7/2020,CB,34 ACDC @ 57.5800,Global X Battery Tech & Lithium ETF,1968.72,,1968.72
22/7/2020,CB,71 MP1 @ 14.2000,Megaport,1019.2,,2987.92
7/8/2020,CB,89 MP1 @ 13.2000,Megaport,1185.8,,1185.8
24/8/2020,CB,57 MP1 @ 16.9051,Megaport,974.59,,1972.94
9/9/2020,CB,18 VGS @ 78.5700,Vanguard Msci Index International Shares ETF,639.56,,639.56
20/10/2020,CB,60 MP1 @ 16.6300,Megaport,1008.8,,1008.8
26/10/2020,CB,69 MP1 @ 14.8200,Megaport,1033.58,,1033.58
23/11/2020,CB,14 ACDC @ 75.8800,Global X Battery Tech & Lithium ETF,1073.32,,1073.32
13/1/2021,CB,10 ACDC @ 89.9200,Global X Battery Tech & Lithium ETF,910.2,,910.2
1/2/2021,CB,15904 LIT @ 0.1225,Lithium Australia Ltd,1959.24,,1959.24
23/2/2021,CB,11 ACDC @ 88.6000,Global X Battery Tech & Lithium ETF,985.6,,985.6
8/3/2021,CB,3 VTS @ 261.8200,Vanguard US Total Market Shares Index AUD ETF,796.46,,796.46
8/3/2021,CB,20 ACDC @ 88.1000,Global X Battery Tech & Lithium ETF,1773,,2569.46
7/4/2021,CB,22 VGS @ 90.2400,Vanguard Msci Index International Shares ETF,1093.88,,1093.88
7/5/2021,CB,23 ROBO @ 84.0000,Global X Robo Global Robotics & Automation ETF,1943,,1943
20/5/2021,CB,399 ABB @ 2.6500,Aussie Broadband Ltd,1068.35,,2026.25
11/6/2021,CB,16 MP1 @ 15.7838,Megaport,263.54,,-3.01
11/6/2021,CB,11 ACDC @ 94.5900,Global X Battery Tech & Lithium ETF,1051.49,,-89.04
30/6/2021,CB,10 ACDC @ 90.3200,Global X Battery Tech & Lithium ETF,914.2,,-44.99
